@lisamurkowski,Lisa,Murkowski,0.78,0.95,0.76,0.34,0.31,0.93,0.76,0.93,0.98,0.95,0.79,0.71,0.94,0.95,0.7,0.97,0.96,0.38,0.28,0.68,0.29,0.57,0.9,0.7,0.45,0.8,0.98,0.87,0.88,0.11,0.1,0.11,0.01,0.08,0.09,0.31,0.27,0.49,0.15,0.26,0.15,0.13,0.23,0.12,0.17,0.77,0.81,0.32,0.31,0.06,0.12,0.28
@LindseyGrahamSC,Lindsey,Graham,0.72,0.83,0.51,0.29,0.24,0.92,0.49,0.87,0.96,0.79,0.8,0.62,0.92,0.97,0.88,0.89,0.98,0.34,0.38,0.83,0.48,0.66,0.9,0.36,0.39,0.63,0.98,0.78,0.81,0.4,0.26,0.1,0.05,0.08,0.04,0.43,0.26,0.23,0.17,0.19,0.23,0.09,0.16,0.2,0.31,0.71,0.86,0.44,0.21,0.18,0.28,0.12
@SenAlexander,Lamar,Alexander,0.67,0.93,0.44,0.13,0.24,0.96,0.74,0.91,0.98,0.96,0.74,0.64,0.98,0.99,0.71,0.93,0.99,0.17,0.4,0.67,0.28,0.69,0.78,0.38,0.25,0.61,0.98,0.72,0.87,0.19,0.17,0.13,0.0,0.1,0.05,0.25,0.15,0.31,0.1,0.12,0.1,0.06,0.28,0.25,0.2,0.59,0.63,0.14,0.14,0.05,0.07,0.08
@SenatorBurr,Richard,Burr,0.75,0.87,0.49,0.25,0.15,0.91,0.71,0.96,0.99,0.96,0.83,0.61,0.96,0.96,0.75,0.93,0.98,0.27,0.14,0.73,0.34,0.78,0.89,0.63,0.57,0.86,0.99,0.74,0.92,0.11,0.13,0.1,0.01,0.05,0.07,0.23,0.31,0.33,0.08,0.16,0.08,0.06,0.12,0.1,0.16,0.72,0.83,0.26,0.18,0.04,0.03,0.2
@SenJohnThune,John,Thune,0.64,0.89,0.46,0.19,0.15,0.89,0.69,0.94,0.99,0.95,0.79,0.67,0.94,0.98,0.84,0.95,0.98,0.38,0.28,0.77,0.51,0.71,0.88,0.55,0.41,0.69,0.97,0.9,0.94,0.12,0.12,0.1,0.01,0.04,0.06,0.38,0.28,0.29,0.11,0.17,0.11,0.09,0.27,0.1,0.11,0.78,0.81,0.4,0.16,0.06,0.1,0.17
@SenatorIsakson,Johnny,Isakson,0.54,0.9,0.57,0.4,0.15,0.76,0.65,0.95,0.99,0.93,0.79,0.57,0.95,0.97,0.8,0.98,0.98,0.55,0.26,0.86,0.52,0.89,0.94,0.69,0.47,0.82,0.99,0.94,0.87,0.16,0.18,0.08,0.01,0.03,0.11,0.6,0.65,0.43,0.16,0.55,0.32,0.19,0.5,0.12,0.25,0.92,0.9,0.55,0.21,0.09,0.17,0.35
@DavidVitter,David,Vitter,0.67,0.81,0.36,0.2,0.14,0.74,0.39,0.96,0.97,0.93,0.84,0.62,0.95,0.95,0.67,0.91,0.97,0.38,0.19,0.67,0.37,0.79,0.88,0.59,0.55,0.83,0.98,0.73,0.91,0.11,0.11,0.1,0.01,0.06,0.1,0.32,0.38,0.28,0.15,0.32,0.14,0.12,0.18,0.26,0.2,0.77,0.81,0.33,0.16,0.05,0.04,0.15
@SenatorMenendez,Bob,Menendez,0.55,0.95,0.73,0.39,0.43,0.95,0.65,0.87,0.95,0.94,0.49,0.76,0.97,0.94,0.73,0.95,0.96,0.36,0.41,0.73,0.4,0.77,0.8,0.51,0.38,0.86,0.99,0.62,0.77,0.17,0.12,0.1,0.0,0.08,0.1,0.28,0.39,0.61,0.28,0.54,0.4,0.3,0.45,0.27,0.48,0.77,0.63,0.22,0.26,0.16,0.03,0.34
@SenatorCardin,Ben,Cardin,0.74,0.93,0.66,0.34,0.38,0.92,0.71,0.91,0.98,0.93,0.62,0.65,0.94,0.98,0.64,0.96,0.98,0.27,0.35,0.68,0.25,0.63,0.9,0.52,0.29,0.75,0.99,0.8,0.81,0.2,0.15,0.13,0.0,0.12,0.08,0.52,0.35,0.65,0.22,0.51,0.31,0.22,0.28,0.33,0.37,0.82,0.86,0.32,0.37,0.13,0.18,0.27
@SenSanders,Bernie,Sanders,0.87,0.97,0.71,0.08,0.15,0.99,0.94,0.87,0.89,0.95,0.66,0.62,0.91,0.96,0.57,0.88,0.99,0.17,0.22,0.74,0.49,0.09,0.84,0.46,0.19,0.79,0.99,0.49,0.96,0.0,0.01,0.08,0.02,0.03,0.0,0.04,0.02,0.42,0.06,0.01,0.02,0.04,0.01,0.11,0.02,0.3,0.6,0.04,0.36,0.02,0.0,0.04
